appendix_stage,artifact,local_path,exists_locally,size_bytes,sha256,exclusion_reason
TIP/PATSTAT retrieval,Raw publication-level parquet export,data/raw/global_corpus_publevel_plus.parquet,yes,1110343533,9db0d8675df65b564d0efba2d5d90c5869e8664e09f567c0384a6ec199244758,row-level TIP/PATSTAT export; not redistributed
TIP/PATSTAT retrieval,Raw family-level parquet export,data/raw/global_corpus_families.parquet,yes,4013369,a926d332097a717e5895e2f74cab38d19d8b3ef2dcf2be9ba4443d35e1b91f95,row-level DOCDB family identifiers; not redistributed
TIP/PATSTAT retrieval,Query filter manuscript table,paper/tables/query_filters.tex,yes,3404,55f0a726b53ad9a7cb8708c7eaf32c29d3d0954326988e721269ab2a75586357,manuscript artifact excluded by scope
TIP/PATSTAT retrieval,Raw corpus overview manuscript table,paper/tables/corpus_overview_raw.tex,yes,1593,c59e7eb3c702a8eaad38dd3f7fd3c8a26cd6f3671290668c522425c5cfbb6bb5,manuscript artifact excluded by scope
English title/abstract completion,Text-enriched parquet output,data/derived/global_corpus_publevel_plus_text_enriched_apple_nllb.parquet,yes,2480545716,28ff6d7e09b55930ec37c96d7b74c85a7aeeb957d8dee82f562d93b75e3169d3,row-level patent title/abstract and translation data; not redistributed
English title/abstract completion,Combined translation JSONL output,metadata/family_translation_results_combined.jsonl,yes,30826366,d88c21c54f6704b7237a616bd3ca375e2d3dc8137806db023a61090c7ad9856c,row-level translated patent text; not redistributed
Family-level modeling corpus,Family modeling corpus parquet,data/derived/family_modeling_corpus_en_complete.parquet,yes,387387823,f4d440ec26abc4643e5ca879a418bb97c49cff91c900de06eac6a0b7a671ff6f,row-level patent title/abstract modeling corpus; not redistributed
Labeling queue,600-family annotation queue,metadata/labeling_candidates_600.csv,yes,1216132,992ed2b25a74999c322f5aab22353a120f7502feb2ffc4cbe2dc3c7570ea96fd,"row-level patent text, family identifiers, and manual labels; not redistributed"
Labeling queue,Labeling sample diagnostics appendix,paper/sections/09_labeling_sample_diagnostics_appendix.tex,yes,1861,16e5c3535f7cd7628d55cac6843ff38a8d544482db3969459b3b422b00e68f97,manuscript appendix source excluded by scope
Labeling queue,Annotation codebook appendix,paper/sections/08_annotation_codebook_appendix.tex,yes,6367,e686f1ed4a92cbe12c9d77555416cd9f029e1db3134dcfb2be6e654a40b6f73c,manuscript appendix source excluded by scope
